Interest-Objective,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer
Technical Experts - Explore new perspectives,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.1,0.1,0.1
Technical Experts - Meet Interesting People,0.2,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.9,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.4,0.1,0.8,0.2,0.1,0.1,0.1
Technical Experts - Start a Company,0.2,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.9,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.9,0.2,0.1,0.1,0.1
Technical Experts - Provide Job opportunities,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.9,0.1,0.1,0.1,0.1
Technical Experts - Explore job opportunities,0.1,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.9,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.7,0.2,0.1,0.1,0.1
Technical Experts - Invest in companies / make investor introductions,0.1,0.1,0.3,0.1,0.1,0.3,0.1,0.1,0.9,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.7,0.2,0.1,0.1,0.1
Technical Experts - Make investor relations,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.8,0.1,0.1,0.1,0.1
Technical Experts - Mentor others,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.8,0.1,0.1,0.1,0.1
Technical Experts - Mentor people,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.8,0.1,0.1,0.1,0.1
Technical Experts - Find a mentor,0.1,0.1,0.1,0.2,0.2,0.4,0.1,0.2,0.9,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.1,0.1,0.1
