Manufacturer,Model,Price Display,Price
BBK,vivo Y27L,"9,000.00",9000
TECNO MOBILE LIMITED,TECNO KB2j,"9,000.00",9000
HUAWEI,TIT-AL00,"9,000.00",9000
vivo,vivo 1603,"9,000.00",9000
LAVA,Z90,"9,099.00",9099
vivo,vivo 1906,"9,490.00",9490
INFINIX MOBILITY LIMITED,Infinix X682B,"9,499.00",9499
samsung,SM-J210F,"9,750.08",9750
samsung,SM-M107F,"9,819.00",9819
samsung,SM-M105F,"9,819.00",9819
INFINIX MOBILITY LIMITED,Infinix X650C,"9,999.00",9999
INFINIX MOBILITY LIMITED,Infinix X655D,"9,999.00",9999
INFINIX MOBILITY LIMITED,Infinix X573,"9,999.00",9999
motorola,moto g(10) power,"9,999.00",9999
HMD Global,Nokia 6.1 Plus,"10,000.00",10000
vivo,vivo 1718,"10,000.00",10000
Xiaomi,Redmi Note 7,"10,000.00",10000
Xiaomi,M2004J19C,"10,000.00",10000
OPPO,CPH1729,"10,000.00",10000
samsung,SM-M305F,"10,800.00",10800
ZUK,ZUK Z2132,"10,999.00",10999
HMD Global,Nokia 7.1,"11,000.00",11000
Xiaomi,Redmi Note 8 Pro,"11,000.00",11000
Xiaomi,Redmi Note 6 Pro,"11,000.00",11000
samsung,SM-A205F,"11,490.00",11490
Xiaomi,Redmi Note 5 Pro,"12,000.00",12000
Xiaomi,Redmi Note 8,"12,000.00",12000
Xiaomi,M2010J19SI,"12,000.00",12000
samsung,SM-M215F,"12,499.00",12499
OPPO,CPH1901,"13,000.00",13000
OPPO,RMX1801,"13,000.00",13000
OPPO,CPH1853,"13,000.00",13000
asus,ASUS_X00TD,"13,000.00",13000
Xiaomi,Redmi Note 7 Pro,"14,000.00",14000
vivo,vivo 1802,"14,000.00",14000
Xiaomi,M2101K7AI,"14,000.00",14000
realme,RMX2151,"15,000.00",15000
Xiaomi,POCO F1,"15,000.00",15000
OnePlus,ONE E1003,"15,000.00",15000
Xiaomi,M2003J15SC,"15,000.00",15000
samsung,SM-G615F,"15,000.00",15000
samsung,SM-J610F,"15,000.00",15000
Google,Pixel 2,"15,000.00",15000
OPPO,CPH1909,"15,000.00",15000
HUAWEI,LLD-AL10,"15,000.00",15000
OPPO,CPH2127,"10,000.00",10000
Realme,RMX1825,"10,000.00",10000
HMD Global,Nokia 7 plus,"12,000.00",12000
HMD Global,Nokia 5.1 Plus,"13,000.00",13000
Xiaomi,Mi A3,"13,000.00",13000
OPPO,CPH1969,"13,000.00",13000
Xiaomi,Redmi 6 Pro,"13,000.00",13000
OPPO,CPH1911,"14,000.00",14000
vivo,vivo 1806,"14,000.00",14000
realme,RMX1971,"14,000.00",14000
samsung,SM-A305F,"15,490.00",15490
Xiaomi,Redmi Note 9 Pro Max,"16,000.00",16000
motorola,moto g(8) plus,"13,000.00",13000
samsung,SM-F415F,"16,000.00",16000
HMD Global,Nokia 7.2,"13,000.00",13000
OPPO,PACT00,"14,000.00",14000
